,carrier,carrier_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,9E,Endeavor Air Inc.,22010.0,1895.0,675.1,55.02,714.73,3.4699999999999998,446.66,166.0,26.0,126603.0,61305.0,10256.0,24968.0,98.0,29976.0
1,AA,American Airlines Inc.,38496.0,4327.0,1693.3,93.94,1809.43,14.96,715.4,210.0,55.0,278851.0,127147.0,16071.0,68509.0,560.0,66564.0
2,AS,Alaska Airlines Inc.,11008.0,825.0,227.53,58.2,355.89,22.08,161.32,164.0,39.0,37382.0,12576.0,3871.0,10996.0,891.0,9048.0
3,B6,JetBlue Airways,10964.0,2232.0,841.0,50.31,872.35,8.9,459.44,129.0,19.0,141492.0,58719.0,7658.0,33958.0,391.0,40766.0
4,DL,Delta Air Lines Inc.,49378.0,6419.0,2159.4,109.81,3271.83,14.07,863.85,566.0,49.0,342701.0,166322.0,18908.0,101411.0,714.0,55346.0
5,F9,Frontier Airlines Inc.,7320.0,772.0,211.25,14.969999999999999,387.27,0.0,158.53,36.0,1.0,39325.0,13118.0,1111.0,15496.0,0.0,9600.0
6,G4,Allegiant Air,7368.0,1085.0,305.28,48.54,348.96999999999997,1.23,381.03,152.0,20.0,80381.0,27609.0,3952.0,21019.0,79.0,27722.0
7,HA,Hawaiian Airlines Inc.,3139.0,219.0,182.23000000000002,4.34,1.5399999999999998,0.0,30.87,56.0,4.0,10864.0,8282.0,1504.0,43.0,0.0,1035.0
8,MQ,Envoy Air,16814.0,2542.0,522.63,122.74,1350.47,10.72,535.49,182.0,30.0,136506.0,32513.0,14060.0,50354.0,360.0,39219.0
9,NK,Spirit Air Lines,12745.0,1896.0,441.37,36.67,1036.22,29.36,352.38,136.0,21.0,100071.0,23750.0,3652.0,47981.0,824.0,23864.0
10,OH,PSA Airlines Inc.,14291.0,1393.0,478.90999999999997,33.550000000000004,549.9399999999999,11.03,319.56,64.0,17.0,86976.0,36183.0,5459.0,15421.0,438.0,29475.0
11,OO,SkyWest Airlines Inc.,54674.0,6809.0,4556.0,755.0,371.0,20.0,1107.0,539.0,152.0,531774.0,315598.0,91654.0,34402.0,909.0,89211.0
12,UA,United Air Lines Inc.,25892.0,2805.0,973.67,89.83,1173.07,0.96,567.48,316.0,26.0,153161.0,60624.0,7573.0,38777.0,118.0,46069.0
13,WN,Southwest Airlines Co.,64342.0,6585.0,2720.38,52.33,1685.3500000000001,26.63,2100.31,635.0,67.0,252703.0,104518.0,3202.0,56764.0,952.0,87267.0
14,YV,Mesa Airlines Inc.,11659.0,1837.0,538.33,68.59,755.26,7.02,467.75,188.0,28.0,128235.0,41934.0,7677.0,36740.0,248.0,41636.0
15,YX,Republic Airline,21257.0,1891.0,691.99,69.42999999999999,765.9,11.34,352.38,311.0,13.0,113676.0,51931.0,7736.0,26857.0,392.0,26760.0
