,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",356.0,60.0,22.68,3.8200000000000003,13.379999999999999,0.0,20.130000000000003,2.0,1.0,3464.0,1559.0,162.0,497.0,0.0,1246.0
1,ABI,"Abilene, TX: Abilene Regional",195.0,32.0,11.58,0.6,8.79,0.0,11.02,1.0,0.0,1563.0,459.0,21.0,257.0,0.0,826.0
2,ABQ,"Albuquerque, NM: Albuquerque International Sunport",2051.0,438.0,164.31,8.41,56.22,0.31,208.76,11.0,2.0,22646.0,9254.0,350.0,1889.0,17.0,11136.0
3,ABR,"Aberdeen, SD: Aberdeen Regional",64.0,15.0,2.94,3.41,4.45,0.0,4.19,2.0,1.0,2466.0,153.0,502.0,265.0,0.0,1546.0
4,ABY,"Albany, GA: Southwest Georgia Regional",81.0,11.0,5.91,1.0,0.71,0.0,3.38,0.0,0.0,1244.0,890.0,43.0,39.0,0.0,272.0
5,ACT,"Waco, TX: Waco Regional",139.0,22.0,6.89,0.68,0.25,0.0,14.19,1.0,0.0,1052.0,375.0,34.0,24.0,0.0,619.0
6,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",215.0,50.0,13.98,1.47,4.43,0.0,30.12,9.0,5.0,4763.0,1613.0,549.0,154.0,0.0,2447.0
7,ACY,"Atlantic City, NJ: Atlantic City International",293.0,45.0,6.84,0.94,18.61,0.99,17.61,2.0,2.0,2905.0,476.0,124.0,771.0,25.0,1509.0
8,ADK,"Adak Island, AK: Adak",8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,108.0,0.0,0.0,0.0,0.0,108.0
9,ADQ,"Kodiak, AK: Kodiak Airport",54.0,7.0,4.41,0.01,1.59,0.0,0.99,8.0,0.0,329.0,180.0,1.0,51.0,0.0,97.0
10,AEX,"Alexandria, LA: Alexandria International",282.0,25.0,7.039999999999999,1.6099999999999999,3.29,0.0,13.06,2.0,2.0,1293.0,302.0,58.0,112.0,0.0,821.0
11,AGS,"Augusta, GA: Augusta Regional at Bush Field",389.0,37.0,16.08,2.96,9.709999999999999,0.0,8.26,1.0,1.0,1874.0,826.0,179.0,389.0,0.0,480.0
12,ALB,"Albany, NY: Albany International",943.0,221.0,90.44,6.58,44.81,0.44,78.75,30.0,0.0,15127.0,5627.0,2346.0,2096.0,44.0,5014.0
13,ALO,"Waterloo, IA: Waterloo Regional",59.0,12.0,3.09,1.15,2.32,0.0,5.44,1.0,0.0,1031.0,272.0,74.0,188.0,0.0,497.0
14,AMA,"Amarillo, TX: Rick Husband Amarillo International",410.0,104.0,32.67,3.62,14.54,0.0,53.15,12.0,2.0,9705.0,2253.0,168.0,616.0,0.0,6668.0
15,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1390.0,259.0,79.85000000000001,7.05,57.28000000000001,9.02,105.8,23.0,2.0,13957.0,3805.0,267.0,1926.0,345.0,7614.0
16,APN,"Alpena, MI: Alpena County Regional",53.0,11.0,5.69,1.59,1.66,0.0,2.06,5.0,0.0,2529.0,439.0,1236.0,746.0,0.0,108.0
17,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",708.0,203.0,49.34,8.45,74.5,0.0,70.71,55.0,38.0,20093.0,7510.0,991.0,6242.0,0.0,5350.0
18,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",32314.0,4317.0,1331.89,139.79,1251.25,7.640000000000001,1586.45,52.0,15.0,269876.0,106245.0,13331.0,45674.0,375.0,104251.0
19,ATW,"Appleton, WI: Appleton International",366.0,68.0,20.669999999999998,9.0,11.859999999999998,0.0,26.47,9.0,2.0,7109.0,2101.0,2438.0,571.0,0.0,1999.0
20,ATY,"Watertown, SD: Watertown Regional",62.0,11.0,3.11,1.0,3.44,0.0,3.44,6.0,1.0,423.0,91.0,20.0,110.0,0.0,202.0
21,AUS,"Austin, TX: Austin - Bergstrom International",5586.0,973.0,356.32,13.7,191.64,1.05,410.29,20.0,2.0,56904.0,23580.0,1074.0,7220.0,43.0,24987.0
