,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
22,AVL,"Asheville, NC: Asheville Regional",833.0,210.0,45.87,6.4,55.83,2.05,99.86,2.0,11.0,12995.0,3476.0,596.0,2052.0,83.0,6788.0
23,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",282.0,56.0,16.62,3.88,20.56,0.0,14.94,5.0,0.0,3392.0,1276.0,610.0,698.0,0.0,808.0
24,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",543.0,196.0,33.1,4.82,63.13,1.66,93.29,5.0,0.0,10420.0,3606.0,197.0,2241.0,36.0,4340.0
25,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",250.0,56.0,22.84,3.5500000000000003,9.99,0.0,19.63,7.0,0.0,3720.0,1399.0,569.0,551.0,0.0,1201.0
26,BDL,"Hartford, CT: Bradley International",2372.0,530.0,170.68,11.75,129.23000000000002,1.1099999999999999,217.24,25.0,7.0,32171.0,10276.0,1259.0,5400.0,46.0,15190.0
27,BET,"Bethel, AK: Bethel Airport",68.0,10.0,5.87,0.94,1.2,0.0,2.0,2.0,0.0,475.0,278.0,89.0,25.0,0.0,83.0
28,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",53.0,8.0,3.7,0.0,0.5,0.0,3.8,2.0,0.0,976.0,791.0,0.0,11.0,0.0,174.0
29,BFL,"Bakersfield, CA: Meadows Field",229.0,69.0,26.72,1.29,8.21,0.15,32.63,2.0,2.0,6597.0,2824.0,99.0,241.0,23.0,3410.0
30,BFM,"Mobile, AL: Mobile Downtown",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",86.0,10.0,1.0,1.78,0.31,0.0,6.91,6.0,2.0,640.0,24.0,214.0,23.0,0.0,379.0
32,BGR,"Bangor, ME: Bangor International",233.0,75.0,21.490000000000002,1.02,19.630000000000003,0.0,32.86,8.0,1.0,5121.0,2199.0,40.0,842.0,0.0,2040.0
33,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",1567.0,344.0,136.16,7.58,59.15,2.19,138.91,10.0,0.0,22802.0,8302.0,455.0,2606.0,104.0,11335.0
34,BIL,"Billings, MT: Billings Logan International",359.0,57.0,24.83,5.41,13.44,0.0,13.290000000000001,3.0,4.0,4983.0,1308.0,2198.0,432.0,0.0,1045.0
35,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",358.0,69.0,18.36,6.05,18.759999999999998,0.39,25.439999999999998,6.0,1.0,5415.0,1337.0,1751.0,603.0,7.0,1717.0
36,BJI,"Bemidji, MN: Bemidji Regional",62.0,10.0,1.0,3.0,4.14,0.0,1.86,2.0,0.0,911.0,61.0,374.0,151.0,0.0,325.0
37,BLI,"Bellingham, WA: Bellingham International",129.0,17.0,3.59,0.67,5.43,0.0,7.31,0.0,1.0,598.0,92.0,13.0,142.0,0.0,351.0
38,BLV,"Belleville, IL: Scott AFB/MidAmerica",77.0,9.0,1.23,1.96,2.06,0.0,3.74,3.0,1.0,555.0,53.0,137.0,58.0,0.0,307.0
39,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",269.0,62.0,15.63,3.19,12.17,0.0,31.01,2.0,0.0,3517.0,723.0,171.0,433.0,0.0,2190.0
40,BNA,"Nashville, TN: Nashville International",6847.0,1293.0,456.07,19.759999999999998,265.39,1.93,549.8000000000001,47.0,5.0,71800.0,26709.0,1711.0,10165.0,52.0,33163.0
41,BOI,"Boise, ID: Boise Air Terminal",1740.0,350.0,122.53,12.040000000000001,57.84,0.0,157.59,13.0,4.0,23157.0,9725.0,861.0,1884.0,0.0,10687.0
42,BOS,"Boston, MA: Logan International",12568.0,3664.0,745.9100000000001,67.58,1599.93,2.7,1247.87,335.0,13.0,329400.0,64414.0,9948.0,129252.0,144.0,125642.0
43,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",79.0,7.0,2.03,1.0,0.0,0.0,3.97,3.0,0.0,1051.0,49.0,726.0,0.0,0.0,276.0
44,BQK,"Brunswick, GA: Brunswick Golden Isles",89.0,10.0,6.6,0.41,1.74,0.0,1.25,0.0,0.0,1425.0,1251.0,17.0,102.0,0.0,55.0
45,BQN,"Aguadilla, PR: Rafael Hernandez",210.0,69.0,26.5,1.42,10.13,0.71,30.240000000000002,1.0,0.0,4477.0,1603.0,159.0,477.0,89.0,2149.0
46,BRD,"Brainerd, MN: Brainerd Lakes Regional",54.0,9.0,1.0,3.0,0.34,0.0,4.66,0.0,0.0,1602.0,20.0,1190.0,32.0,0.0,360.0
47,BRO,"Brownsville, TX: Brownsville South Padre Island International",212.0,28.0,12.01,0.09,5.09,0.0,10.81,3.0,0.0,1600.0,723.0,11.0,149.0,0.0,717.0
48,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",62.0,8.0,1.0,0.0,2.97,0.0,4.03,0.0,2.0,470.0,17.0,0.0,120.0,0.0,333.0
49,BTM,"Butte, MT: Bert Mooney",58.0,5.0,3.8,0.0,1.0,0.0,0.2,0.0,0.0,382.0,309.0,0.0,31.0,0.0,42.0
50,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",642.0,82.0,31.810000000000002,6.32,18.4,0.0,25.48,3.0,3.0,6176.0,2097.0,1457.0,659.0,0.0,1963.0
51,BTV,"Burlington, VT: Burlington International",775.0,200.0,64.53999999999999,2.46,35.839999999999996,0.0,97.16,7.0,1.0,14225.0,4983.0,202.0,2468.0,0.0,6572.0
52,BUF,"Buffalo, NY: Buffalo Niagara International",1953.0,446.0,163.01,16.22,82.68,0.0,184.07,32.0,4.0,36098.0,13507.0,1597.0,3516.0,0.0,17478.0
53,BUR,"Burbank, CA: Bob Hope",2666.0,658.0,209.21000000000004,5.949999999999999,139.26999999999998,5.29,298.26,56.0,8.0,35512.0,11985.0,346.0,4601.0,497.0,18083.0
54,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9051.0,1573.0,533.76,18.52,365.33,8.87,646.52,80.0,8.0,76049.0,25476.0,1517.0,12952.0,256.0,35848.0
55,BZN,"Bozeman, MT: Bozeman Yellowstone International",581.0,94.0,34.81,7.01,17.36,0.0,34.82,8.0,2.0,4817.0,2058.0,178.0,509.0,0.0,2072.0
56,CAE,"Columbia, SC: Columbia Metropolitan",613.0,126.0,41.0,3.2,31.36,0.0,50.44,1.0,0.0,8886.0,2358.0,444.0,1183.0,0.0,4901.0
57,CAK,"Akron, OH: Akron-Canton Regional",504.0,119.0,37.35,3.8499999999999996,26.2,0.0,51.62,14.0,5.0,11304.0,3530.0,2550.0,1160.0,0.0,4064.0
58,CDC,"Cedar City, UT: Cedar City Regional",53.0,3.0,2.0,0.56,0.0,0.0,0.44,0.0,0.0,328.0,195.0,75.0,0.0,0.0,58.0
59,CDV,"Cordova, AK: Merle K Mudhole Smith",60.0,12.0,4.33,1.95,2.43,0.0,3.29,2.0,0.0,909.0,497.0,177.0,81.0,0.0,154.0
60,CGI,"Cape Girardeau, MO: Cape Girardeau Regional",55.0,9.0,4.08,0.0,1.79,0.0,3.13,0.0,1.0,1294.0,1000.0,0.0,120.0,0.0,174.0
61,CHA,"Chattanooga, TN: Lovell Field",689.0,142.0,57.65,4.62,24.7,0.0,55.03,5.0,0.0,9125.0,4556.0,180.0,861.0,0.0,3528.0
62,CHO,"Charlottesville, VA: Charlottesville Albemarle",494.0,103.0,28.56,12.370000000000001,21.02,0.0,41.05,12.0,4.0,8076.0,2316.0,2422.0,796.0,0.0,2542.0
63,CHS,"Charleston, SC: Charleston AFB/International",2024.0,381.0,138.62,9.98,83.16,2.11,147.15,11.0,1.0,24472.0,9376.0,997.0,3321.0,142.0,10636.0
64,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",783.0,154.0,42.41,11.01,44.51,0.0,56.04,7.0,0.0,9587.0,2238.0,975.0,1710.0,0.0,4664.0
65,CIU,"Sault Ste. Marie, MI: Chippewa County International",56.0,11.0,3.39,2.91,2.42,0.0,2.28,4.0,1.0,714.0,199.0,350.0,77.0,0.0,88.0
66,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",73.0,18.0,7.5,1.67,1.5499999999999998,0.0,7.28,1.0,1.0,2345.0,1225.0,121.0,693.0,0.0,306.0
67,CLE,"Cleveland, OH: Cleveland-Hopkins International",3926.0,756.0,244.04,15.3,171.4,1.29,323.99,43.0,2.0,52098.0,18398.0,2042.0,8036.0,46.0,23576.0
68,CLL,"College Station/Bryan, TX: Easterwood Field",162.0,24.0,8.530000000000001,1.06,3.77,0.0,10.64,2.0,1.0,2210.0,823.0,106.0,151.0,0.0,1130.0
69,CLT,"Charlotte, NC: Charlotte Douglas International",19722.0,3380.0,842.37,67.37,944.5300000000001,5.970000000000001,1519.76,106.0,9.0,221477.0,71902.0,6855.0,30733.0,193.0,111794.0
70,CMH,"Columbus, OH: John Glenn Columbus International",4089.0,811.0,267.2,13.24,184.48,1.36,344.7,40.0,10.0,45954.0,15269.0,1883.0,7309.0,35.0,21458.0
71,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",242.0,54.0,16.58,4.25,12.16,0.0,21.01,1.0,0.0,3197.0,816.0,361.0,505.0,0.0,1515.0
72,CMX,"Hancock/Houghton, MI: Houghton County Memorial",61.0,11.0,3.48,0.0,1.48,0.0,6.05,8.0,0.0,672.0,250.0,0.0,94.0,0.0,328.0
73,CNY,"Moab, UT: Canyonlands Field",31.0,11.0,4.0,0.0,2.58,0.0,4.42,1.0,0.0,1176.0,488.0,0.0,124.0,0.0,564.0
74,COD,"Cody, WY: Yellowstone Regional",2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
75,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",876.0,189.0,77.45,5.76,35.58,0.0,70.23,5.0,2.0,13888.0,5673.0,1105.0,1145.0,0.0,5965.0
76,COU,"Columbia, MO: Columbia Regional",203.0,46.0,11.5,2.6399999999999997,10.15,0.0,21.7,7.0,1.0,2915.0,571.0,133.0,351.0,0.0,1860.0
77,CPR,"Casper, WY: Casper/Natrona County International",94.0,10.0,3.21,1.89,1.79,0.0,3.11,0.0,0.0,1329.0,250.0,785.0,39.0,0.0,255.0
78,CRP,"Corpus Christi, TX: Corpus Christi International",530.0,97.0,29.06,4.98,17.849999999999998,0.0,45.1,7.0,3.0,7975.0,2506.0,916.0,640.0,0.0,3913.0
79,CRW,"Charleston/Dunbar, WV: Yeager",383.0,84.0,25.39,7.62,16.65,0.04,34.3,2.0,6.0,6729.0,2319.0,974.0,512.0,11.0,2913.0
80,CSG,"Columbus, GA: Columbus Airport",80.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,166.0,144.0,0.0,22.0,0.0,0.0
81,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",3775.0,746.0,193.51999999999998,24.61,174.19,1.38,352.29,23.0,7.0,50027.0,14383.0,1436.0,7733.0,102.0,26373.0
82,CWA,"Mosinee, WI: Central Wisconsin",197.0,30.0,6.84,5.08,10.809999999999999,0.0,7.26,11.0,5.0,4644.0,738.0,2439.0,533.0,0.0,934.0
83,CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",31.0,7.0,3.07,1.0,0.0,0.0,2.93,1.0,0.0,503.0,145.0,94.0,0.0,0.0,264.0
84,DAB,"Daytona Beach, FL: Daytona Beach International",276.0,53.0,16.61,1.05,10.32,0.0,25.03,0.0,1.0,2617.0,696.0,29.0,340.0,0.0,1552.0
85,DAL,"Dallas, TX: Dallas Love Field",6285.0,1202.0,433.07000000000005,4.02,268.63,5.83,490.45,60.0,8.0,52928.0,18237.0,312.0,8783.0,376.0,25220.0
86,DAY,"Dayton, OH: James M Cox/Dayton International",1130.0,261.0,80.08,6.59,55.36,0.0,118.97,10.0,5.0,18661.0,6254.0,632.0,2229.0,0.0,9546.0
87,DBQ,"Dubuque, IA: Dubuque Regional",89.0,23.0,6.14,2.83,5.71,0.0,8.33,6.0,0.0,1101.0,268.0,124.0,205.0,0.0,504.0
88,DCA,"Washington, DC: Ronald Reagan Washington National",11238.0,2429.0,679.56,48.28,787.37,4.16,909.64,143.0,43.0,167829.0,51657.0,5263.0,34942.0,247.0,75720.0
89,DEN,"Denver, CO: Denver International",21332.0,3761.0,1118.77,86.72,1074.06,15.02,1466.44,228.0,15.0,256593.0,90919.0,8366.0,45801.0,595.0,110912.0
90,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",25505.0,4814.0,1143.1699999999998,185.64000000000001,1446.12,13.53,2025.52,219.0,95.0,355291.0,103017.0,24257.0,59428.0,467.0,168122.0
91,DHN,"Dothan, AL: Dothan Regional",117.0,16.0,4.0,1.29,0.25,0.0,10.46,0.0,1.0,812.0,240.0,42.0,6.0,0.0,524.0
92,DLH,"Duluth, MN: Duluth International",305.0,58.0,18.840000000000003,10.580000000000002,10.440000000000001,0.0,18.14,15.0,0.0,6206.0,1993.0,1970.0,547.0,0.0,1696.0
93,DRO,"Durango, CO: Durango La Plata County",210.0,66.0,19.18,2.43,12.39,0.13,31.88,7.0,0.0,5246.0,1106.0,722.0,543.0,4.0,2871.0
94,DRT,"Del Rio, TX: Del Rio International",62.0,7.0,0.55,0.07,0.44,0.0,5.95,0.0,0.0,385.0,28.0,8.0,7.0,0.0,342.0
95,DSM,"Des Moines, IA: Des Moines International",1389.0,239.0,64.6,3.81,62.44,0.91,107.22,10.0,0.0,12537.0,3654.0,237.0,2126.0,41.0,6479.0
96,DTW,"Detroit, MI: Detroit Metro Wayne County",13697.0,2009.0,559.75,94.67,468.92,4.56,881.12,89.0,12.0,153305.0,46978.0,20221.0,19163.0,152.0,66791.0
97,DVL,"Devils Lake, ND: Devils Lake Regional",53.0,7.0,1.15,0.98,0.99,0.0,3.88,3.0,0.0,1355.0,702.0,128.0,49.0,0.0,476.0
98,EAR,"Kearney, NE: Kearney Regional",87.0,19.0,6.83,1.0,1.28,0.0,9.88,3.0,0.0,1807.0,1127.0,45.0,91.0,0.0,544.0
99,EAU,"Eau Claire, WI: Chippewa Valley Regional",61.0,15.0,4.75,0.07,2.86,0.0,7.31,4.0,0.0,773.0,371.0,2.0,78.0,0.0,322.0
100,ECP,"Panama City, FL: Northwest Florida Beaches International",461.0,84.0,28.78,0.17,12.95,0.0,42.089999999999996,1.0,1.0,5540.0,2305.0,4.0,513.0,0.0,2718.0
101,EGE,"Eagle, CO: Eagle County Regional",318.0,75.0,23.6,6.2,32.44,0.0,12.76,9.0,10.0,7656.0,1977.0,2236.0,2411.0,0.0,1032.0
102,EKO,"Elko, NV: Elko Regional",58.0,5.0,0.93,0.99,1.08,0.0,2.0,0.0,0.0,1107.0,175.0,752.0,35.0,0.0,145.0
103,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",185.0,24.0,8.18,2.8200000000000003,2.83,0.0,10.18,5.0,2.0,1331.0,485.0,125.0,106.0,0.0,615.0
104,ELP,"El Paso, TX: El Paso International",1522.0,354.0,136.24,5.859999999999999,44.63,1.0,166.27,4.0,3.0,19503.0,7283.0,336.0,1803.0,26.0,10055.0
105,ERI,"Erie, PA: Erie International/Tom Ridge Field",95.0,21.0,9.23,2.93,1.25,0.0,7.59,1.0,1.0,1440.0,693.0,270.0,48.0,0.0,429.0
106,ESC,"Escanaba, MI: Delta County",53.0,11.0,3.58,2.93,1.17,0.0,3.32,7.0,3.0,2783.0,509.0,1738.0,57.0,0.0,479.0
107,EUG,"Eugene, OR: Mahlon Sweet Field",578.0,113.0,38.19,5.51,24.029999999999998,0.9,44.370000000000005,16.0,4.0,6805.0,2843.0,539.0,695.0,140.0,2588.0
108,EVV,"Evansville, IN: Evansville Regional",290.0,43.0,13.84,0.9,5.88,0.0,22.37,2.0,0.0,1945.0,654.0,56.0,208.0,0.0,1027.0
109,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",203.0,38.0,13.49,0.0,12.71,0.0,11.799999999999999,2.0,1.0,2354.0,594.0,0.0,407.0,0.0,1353.0
110,EWR,"Newark, NJ: Newark Liberty International",11571.0,4043.0,540.0,58.379999999999995,2600.12,0.73,843.8100000000001,233.0,39.0,367756.0,52756.0,12197.0,218487.0,27.0,84289.0
111,EYW,"Key West, FL: Key West International",567.0,94.0,14.73,1.9200000000000002,61.900000000000006,0.0,15.44,1.0,5.0,4667.0,636.0,889.0,2280.0,0.0,862.0
112,FAI,"Fairbanks, AK: Fairbanks International",346.0,62.0,24.41,0.0,12.12,0.41,25.060000000000002,3.0,0.0,3243.0,1407.0,0.0,375.0,9.0,1452.0
113,FAR,"Fargo, ND: Hector International",552.0,114.0,37.339999999999996,10.77,29.11,0.0,36.75,24.0,1.0,10616.0,3623.0,2106.0,1352.0,0.0,3535.0
114,FAT,"Fresno, CA: Fresno Yosemite International",1036.0,179.0,59.28,9.55,23.650000000000002,0.0,86.53,16.0,2.0,13247.0,5377.0,731.0,773.0,0.0,6366.0
115,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",336.0,68.0,22.5,3.15,14.469999999999999,1.0,26.869999999999997,1.0,0.0,3925.0,1306.0,231.0,389.0,61.0,1938.0
116,FCA,"Kalispell, MT: Glacier Park International",211.0,31.0,11.76,0.26,6.97,0.96,11.06,0.0,1.0,2308.0,1018.0,5.0,274.0,25.0,986.0
117,FLG,"Flagstaff, AZ: Flagstaff Pulliam",185.0,27.0,8.75,1.0,3.44,0.0,13.8,11.0,2.0,1914.0,806.0,144.0,120.0,0.0,844.0
118,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9308.0,2346.0,729.51,42.08,810.24,9.22,754.94,34.0,34.0,157324.0,50017.0,4578.0,40518.0,232.0,61979.0
119,FNT,"Flint, MI: Bishop International",345.0,70.0,21.89,3.24,20.32,0.0,24.54,5.0,0.0,3933.0,1301.0,213.0,892.0,0.0,1527.0
120,FSD,"Sioux Falls, SD: Joe Foss Field",625.0,148.0,43.879999999999995,8.25,34.07,0.0,61.809999999999995,13.0,2.0,10434.0,3496.0,556.0,1361.0,0.0,5021.0
121,FSM,"Fort Smith, AR: Fort Smith Regional",192.0,31.0,5.91,1.02,2.81,0.0,21.259999999999998,0.0,2.0,3246.0,457.0,29.0,113.0,0.0,2647.0
122,FWA,"Fort Wayne, IN: Fort Wayne International",608.0,118.0,43.010000000000005,8.84,27.71,0.0,38.440000000000005,11.0,6.0,10805.0,4550.0,2189.0,1165.0,0.0,2901.0
123,GCC,"Gillette, WY: Gillette Campbell County",81.0,13.0,7.75,0.0,0.48,0.0,4.77,2.0,0.0,1088.0,788.0,0.0,29.0,0.0,271.0
124,GCK,"Garden City, KS: Garden City Regional",62.0,7.0,2.56,1.42,1.84,0.0,1.17,0.0,0.0,393.0,157.0,105.0,48.0,0.0,83.0
125,GEG,"Spokane, WA: Spokane International",1160.0,235.0,88.77,3.97,31.03,1.67,109.56,5.0,1.0,13585.0,5122.0,265.0,1124.0,49.0,7025.0
126,GFK,"Grand Forks, ND: Grand Forks International",193.0,39.0,7.199999999999999,4.17,11.3,1.0,15.33,6.0,0.0,3957.0,456.0,1873.0,472.0,46.0,1110.0
127,GGG,"Longview, TX: East Texas Regional",80.0,5.0,1.0,2.1,0.15,0.0,1.76,0.0,0.0,444.0,20.0,232.0,16.0,0.0,176.0
128,GJT,"Grand Junction, CO: Grand Junction Regional",405.0,76.0,25.01,4.06,17.669999999999998,0.0,29.259999999999998,2.0,0.0,5021.0,1382.0,931.0,732.0,0.0,1976.0
129,GNV,"Gainesville, FL: Gainesville Regional",443.0,67.0,21.2,1.52,14.88,0.0,29.400000000000002,1.0,1.0,3537.0,1001.0,87.0,596.0,0.0,1853.0
130,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",405.0,72.0,30.880000000000003,6.03,13.82,0.0,21.27,5.0,4.0,5447.0,1534.0,598.0,562.0,0.0,2753.0
131,GRB,"Green Bay, WI: Green Bay Austin Straubel International",465.0,82.0,21.85,8.08,27.01,0.0,25.07,13.0,1.0,8576.0,3912.0,1242.0,1048.0,0.0,2374.0
132,GRI,"Grand Island, NE: Central Nebraska Regional",95.0,17.0,7.84,1.52,2.7199999999999998,0.77,4.15,1.0,1.0,855.0,279.0,67.0,321.0,47.0,141.0
133,GRK,"Killeen, TX: Robert Gray AAF",274.0,45.0,13.54,3.97,10.7,0.0,16.8,4.0,0.0,2534.0,680.0,259.0,296.0,0.0,1299.0
134,GRR,"Grand Rapids, MI: Gerald R. Ford International",1623.0,389.0,120.23,20.39,93.53,0.41,154.43,19.0,3.0,24579.0,7433.0,2701.0,3933.0,15.0,10497.0
135,GSO,"Greensboro/High Point, NC: Piedmont Triad International",1146.0,229.0,69.91,4.38,56.730000000000004,0.0,97.98,7.0,1.0,14269.0,3656.0,268.0,2675.0,0.0,7670.0
136,GSP,"Greer, SC: Greenville-Spartanburg International",1372.0,296.0,87.7,6.81,60.510000000000005,1.0,139.97,13.0,2.0,18808.0,5810.0,382.0,2377.0,35.0,10204.0
137,GTF,"Great Falls, MT: Great Falls International",169.0,19.0,8.299999999999999,0.02,4.73,0.0,5.96,1.0,1.0,1736.0,1141.0,3.0,225.0,0.0,367.0
138,GTR,"Columbus, MS: Golden Triangle Regional",107.0,15.0,5.16,1.0,0.4,0.0,8.43,0.0,1.0,1368.0,605.0,19.0,33.0,0.0,711.0
139,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",41.0,4.0,1.31,0.33,1.35,0.0,1.0,1.0,0.0,223.0,104.0,8.0,27.0,0.0,84.0
140,GUM,"Guam, TT: Guam International",75.0,4.0,0.73,0.0,0.53,0.0,2.74,0.0,0.0,195.0,24.0,0.0,23.0,0.0,148.0
141,HDN,"Hayden, CO: Yampa Valley",151.0,30.0,11.84,0.39,10.89,0.0,6.890000000000001,0.0,1.0,1925.0,873.0,32.0,435.0,0.0,585.0
142,HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",16.0,3.0,0.75,0.89,0.43,0.0,0.93,0.0,0.0,168.0,35.0,39.0,27.0,0.0,67.0
143,HHH,"Hilton Head, SC: Hilton Head Airport",185.0,27.0,5.54,3.67,5.37,0.0,12.42,1.0,6.0,3256.0,310.0,1012.0,221.0,0.0,1713.0
144,HIB,"Hibbing, MN: Range Regional",54.0,5.0,1.34,0.0,3.02,0.0,0.64,1.0,0.0,370.0,133.0,0.0,164.0,0.0,73.0
145,HLN,"Helena, MT: Helena Regional",115.0,11.0,4.38,1.89,0.07,0.0,4.66,0.0,1.0,1049.0,511.0,98.0,10.0,0.0,430.0
146,HNL,"Honolulu, HI: Daniel K Inouye International",4797.0,626.0,307.44,14.82,124.17,2.48,177.08,6.0,8.0,28659.0,16829.0,399.0,3963.0,89.0,7379.0
147,HOB,"Hobbs, NM: Lea County Regional",89.0,24.0,8.0,1.0,3.53,0.0,11.48,0.0,0.0,2931.0,1522.0,27.0,131.0,0.0,1251.0
148,HOU,"Houston, TX: William P Hobby",4983.0,881.0,295.15000000000003,3.8200000000000003,155.56,1.81,424.67,37.0,12.0,44559.0,14315.0,165.0,5447.0,37.0,24595.0
