,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
322,SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",170.0,34.0,31.0,2.0,1.0,0.0,0.0,0.0,4.0,1102.0,886.0,195.0,21.0,0.0,0.0
323,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",57.0,4.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,182.0,87.0,0.0,17.0,0.0,78.0
324,SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,SWO,"Stillwater, OK: Stillwater Regional",41.0,4.0,1.0,0.08,2.0,0.0,0.92,0.0,0.0,171.0,38.0,7.0,45.0,0.0,81.0
326,SYR,"Syracuse, NY: Syracuse Hancock International",420.0,41.0,13.66,0.26,19.84,0.0,7.26,4.0,2.0,1978.0,686.0,16.0,753.0,0.0,523.0
327,TLH,"Tallahassee, FL: Tallahassee International",364.0,36.0,17.98,0.0,9.32,0.33,8.370000000000001,1.0,0.0,2095.0,910.0,0.0,243.0,10.0,932.0
328,TOL,"Toledo, OH: Toledo Express",37.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,62.0,0.0,0.0,0.0,19.0
329,TPA,"Tampa, FL: Tampa International",4782.0,665.0,229.24,11.59,279.61,3.27,141.3,45.0,5.0,29754.0,11373.0,1074.0,9948.0,83.0,7276.0
330,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",164.0,15.0,6.890000000000001,1.0,1.32,0.0,5.79,0.0,3.0,882.0,442.0,51.0,70.0,0.0,319.0
331,TTN,"Trenton, NJ: Trenton Mercer",85.0,10.0,0.74,0.0,6.4,0.0,2.86,1.0,1.0,934.0,320.0,0.0,150.0,0.0,464.0
332,TUL,"Tulsa, OK: Tulsa International",851.0,101.0,53.17,1.67,15.55,0.0,30.61,6.0,3.0,5508.0,2779.0,269.0,640.0,0.0,1820.0
333,TUS,"Tucson, AZ: Tucson International",1061.0,129.0,69.15,9.33,21.860000000000003,0.0,28.66,5.0,0.0,7638.0,4022.0,843.0,751.0,0.0,2022.0
334,TVC,"Traverse City, MI: Cherry Capital",195.0,33.0,20.369999999999997,4.57,7.48,0.0,0.59,5.0,1.0,2952.0,1950.0,804.0,178.0,0.0,20.0
335,TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",100.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,326.0,0.0,0.0,0.0,0.0
336,TXK,"Texarkana, AR: Texarkana Regional-Webb Field",83.0,10.0,2.75,1.0,3.54,0.0,2.72,0.0,0.0,1001.0,266.0,45.0,245.0,0.0,445.0
